model_family,number,value,params_batch_size,params_dropout,params_embedding_dim,params_hidden_dim,params_learning_rate,params_num_heads,params_num_layers,params_weight_decay,state,user_attrs_mean_predicted_uplift,user_attrs_policy_gain_top10,user_attrs_policy_gain_top20,user_attrs_policy_gain_top30,user_attrs_positive_uplift_rate,user_attrs_qini_auc,user_attrs_resolved_params,user_attrs_treatment_response_auc,user_attrs_uplift_auc,params_C,params_class_weight,params_penalty
s_learner_logistic,0,0.18572290548872084,,,,,,,,,COMPLETE,0.0012058665964582993,0.008514462896360934,0.00483273484096107,0.0033674481605379305,1.0,0.18572290548872084,"{'C': 3.5158633006967017, 'penalty': 'l2', 'class_weight': None, 'max_iter': 500}",0.9483612444300126,0.0060175912719176,3.5158633006967017,,l2
s_learner_logistic,1,0.18578660116867013,,,,,,,,,COMPLETE,0.0011947525733737741,0.008514462896360934,0.004826838447874009,0.003373615781960257,1.0,0.18578660116867013,"{'C': 0.10232031562149681, 'penalty': 'l2', 'class_weight': None, 'max_iter': 500}",0.9484181864316679,0.0060196885782313626,0.10232031562149681,,l2
s_learner_logistic,2,-0.03366076661807486,,,,,,,,,COMPLETE,0.036097437037386035,0.0008071812596360467,0.0016016130383937387,0.0010804290366711693,1.0,-0.03366076661807486,"{'C': 4.957490566775896, 'penalty': 'l2', 'class_weight': 'balanced', 'max_iter': 500}",0.9500387404780588,-0.0011017055204829238,4.957490566775896,balanced,l2
s_learner_logistic,3,0.18572324117256267,,,,,,,,,COMPLETE,0.0012058335686896797,0.008514462896360934,0.00483273484096107,0.0033674481605379305,1.0,0.18572324117256267,"{'C': 3.2023012812265734, 'penalty': 'l2', 'class_weight': None, 'max_iter': 500}",0.9483614180648159,0.006017602306619708,3.2023012812265734,,l2
s_learner_logistic,4,0.18572219709980695,,,,,,,,,COMPLETE,0.0012059562532664725,0.008514462896360934,0.00483273484096107,0.0033674481605379305,1.0,0.18572219709980695,"{'C': 4.788504173303451, 'penalty': 'l2', 'class_weight': None, 'max_iter': 500}",0.9483606520289192,0.006017568118935121,4.788504173303451,,l2
s_learner_logistic,5,0.18572148214377884,,,,,,,,,COMPLETE,0.0012060691546721578,0.008514462896360934,0.00483273484096107,0.0033674481605379305,1.0,0.18572148214377884,"{'C': 8.797766643251208, 'penalty': 'l2', 'class_weight': None, 'max_iter': 500}",0.9483601209106973,0.006017544406242385,8.797766643251208,,l2
s_learner_logistic,6,0.18572617364855692,,,,,,,,,COMPLETE,0.0012053102202618038,0.008514462896360934,0.004830769880566296,0.0033692110648150878,1.0,0.18572617364855692,"{'C': 1.3265131710688696, 'penalty': 'l2', 'class_weight': None, 'max_iter': 500}",0.9483636446758222,0.006017699800639343,1.3265131710688696,,l2
s_learner_logistic,7,-0.033660916645685775,,,,,,,,,COMPLETE,0.03609739672207493,0.0008071812596360467,0.0016016130383937387,0.0010804290366711693,1.0,-0.033660916645685775,"{'C': 2.9469075485453047, 'penalty': 'l2', 'class_weight': 'balanced', 'max_iter': 500}",0.9500387404780588,-0.0011017104154322705,2.9469075485453047,balanced,l2
s_learner_logistic,8,-0.03366079067041108,,,,,,,,,COMPLETE,0.03609744292697266,0.0008071812596360467,0.0016016130383937387,0.0010804290366711693,1.0,-0.03366079067041108,"{'C': 5.506254932395682, 'penalty': 'l2', 'class_weight': 'balanced', 'max_iter': 500}",0.950038709836623,-0.0011017063068366167,5.506254932395682,balanced,l2
s_learner_logistic,9,0.1860584977642076,,,,,,,,,COMPLETE,0.0011519966262538725,0.008539050603324185,0.004824871975044163,0.0033700922988351874,1.0,0.1860584977642076,"{'C': 0.020573955654565816, 'penalty': 'l2', 'class_weight': None, 'max_iter': 500}",0.9486491207199953,0.006028637587535675,0.020573955654565816,,l2
